"","Coefficient","CpG"
"cg12273325",-4.27289582718087,"cg12273325"
"cg13036321",-10.0425427341449,"cg13036321"
"cg13048911",-6.29575073963529,"cg13048911"
"cg13173903",-14.5044011004204,"cg13173903"
"cg17059502",-41.9246161326532,"cg17059502"
"cg17215036",-8.39436075893531,"cg17215036"
"cg18085206",-1.37074302177483,"cg18085206"
"cg18427091",-40.6444395502585,"cg18427091"
"cg22472411",-35.3949659552183,"cg22472411"
"cg23474190",-0.80334032494104,"cg23474190"
"cg24594979",-35.7557178794513,"cg24594979"
"cg24713878",-10.2701196890089,"cg24713878"
"cg25424279",-5.26248206128342,"cg25424279"
"cg25856090",-9.84543109297274,"cg25856090"
"cg26751855",-22.0807370465994,"cg26751855"
"cg27494897",-10.7141874344967,"cg27494897"
