"","GO_ID","Term"
"121","GO:0000381","regulation of alternative mRNA splicing, via spliceosome"
"122","GO:0000387","spliceosomal snRNP assembly"
"123","GO:0000388","spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)"
"124","GO:0000389","mRNA 3'-splice site recognition"
"125","GO:0000390","spliceosomal complex disassembly"
"126","GO:0000393","spliceosomal conformational changes to generate catalytic conformation"
"127","GO:0000394","RNA splicing, via endonucleolytic cleavage and ligation"
"128","GO:0000395","mRNA 5'-splice site recognition"
"129","GO:0000398","mRNA splicing, via spliceosome"
"130","GO:0000409","regulation of transcription by galactose"
"131","GO:0000410","carbon catabolite repression of transcription by galactose"
"132","GO:0000411","positive regulation of transcription by galactose"
"133","GO:0000412","histone peptidyl-prolyl isomerization"
"134","GO:0000413","protein peptidyl-prolyl isomerization"
"135","GO:0000414","regulation of histone H3-K36 methylation"
"136","GO:0000415","negative regulation of histone H3-K36 methylation"
"137","GO:0000416","positive regulation of histone H3-K36 methylation"
"138","GO:0000422","autophagy of mitochondrion"
"139","GO:0000423","mitophagy"
"140","GO:0000424","micromitophagy"
"141","GO:0000425","pexophagy"
"142","GO:0000426","micropexophagy"
"143","GO:0000429","carbon catabolite regulation of transcription from RNA polymerase II promoter"
"144","GO:0000430","regulation of transcription from RNA polymerase II promoter by glucose"
"145","GO:0000431","regulation of transcription from RNA polymerase II promoter by galactose"
"146","GO:0000432","positive regulation of transcription from RNA polymerase II promoter by glucose"
"147","GO:0000433","carbon catabolite repression of transcription from RNA polymerase II promoter by glucose"
"148","GO:0000434","carbon catabolite repression of transcription from RNA polymerase II promoter by galactose"
"149","GO:0000435","positive regulation of transcription from RNA polymerase II promoter by galactose"
"150","GO:0000436","carbon catabolite activation of transcription from RNA polymerase II promoter"
"151","GO:0000437","carbon catabolite repression of transcription from RNA polymerase II promoter"
"152","GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"153","GO:0000448","cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"154","GO:0000449","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)"
"155","GO:0000450","cleavage of bicistronic rRNA transcript (SSU-rRNA, LSU-rRNA)"
"156","GO:0000451","rRNA 2'-O-methylation"
"157","GO:0000452","snoRNA guided rRNA 2'-O-methylation"
"158","GO:0000453","enzyme-directed rRNA 2'-O-methylation"
"159","GO:0000454","snoRNA guided rRNA pseudouridine synthesis"
"160","GO:0000455","enzyme-directed rRNA pseudouridine synthesis"
"161","GO:0000457","endonucleolytic cleavage between SSU-rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)"
"162","GO:0000458","endonucleolytic cleavage between LSU-rRNA and 5S rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)"
"163","GO:0000459","exonucleolytic trimming involved in rRNA processing"
"164","GO:0000460","maturation of 5.8S rRNA"
"165","GO:0000461","endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"166","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"167","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"168","GO:0000464","endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"169","GO:0000465","exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"170","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"171","GO:0000467","exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"172","GO:0000468","generation of mature 3'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"173","GO:0000469","cleavage involved in rRNA processing"
"174","GO:0000470","maturation of LSU-rRNA"
"175","GO:0000471","endonucleolytic cleavage in 3'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"176","GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"177","GO:0000473","maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)"
"178","GO:0000474","maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)"
"179","GO:0000475","maturation of 2S rRNA"
"180","GO:0000476","maturation of 4.5S rRNA"
"181","GO:0000477","generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"182","GO:0000478","endonucleolytic cleavage involved in rRNA processing"
"183","GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"184","GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"185","GO:0000481","maturation of 5S rRNA"
"186","GO:0000482","maturation of 5S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"187","GO:0000483","endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)"
"188","GO:0000484","cleavage between SSU-rRNA and 5.8S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)"
"189","GO:0000485","cleavage between 2S rRNA and LSU-rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)"
"190","GO:0000486","cleavage between 5.8S rRNA and 2S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)"
"191","GO:0000487","maturation of 5.8S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)"
"192","GO:0000488","maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)"
"193","GO:0000489","maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)"
"194","GO:0000491","small nucleolar ribonucleoprotein complex assembly"
"195","GO:0000492","box C/D snoRNP assembly"
"196","GO:0000493","box H/ACA snoRNP assembly"
"197","GO:0000494","box C/D RNA 3'-end processing"
"198","GO:0000495","box H/ACA RNA 3'-end processing"
"199","GO:0000578","embryonic axis specification"
"200","GO:0000705","achiasmate meiosis I"
"201","GO:0000706","meiotic DNA double-strand break processing"
"202","GO:0000707","meiotic DNA recombinase assembly"
"203","GO:0000708","meiotic strand invasion"
"204","GO:0000709","meiotic joint molecule formation"
"205","GO:0000710","meiotic mismatch repair"
"206","GO:0000711","meiotic DNA repair synthesis"
"207","GO:0000712","resolution of meiotic recombination intermediates"
"208","GO:0000713","meiotic heteroduplex formation"
"209","GO:0000714","meiotic strand displacement"
"210","GO:0000715","nucleotide-excision repair, DNA damage recognition"
"211","GO:0000716","transcription-coupled nucleotide-excision repair, DNA damage recognition"
"212","GO:0000717","nucleotide-excision repair, DNA duplex unwinding"
"213","GO:0000718","nucleotide-excision repair, DNA damage removal"
"214","GO:0000719","photoreactive repair"
"215","GO:0000720","pyrimidine dimer repair by nucleotide-excision repair"
"216","GO:0000722","telomere maintenance via recombination"
"217","GO:0000723","telomere maintenance"
"218","GO:0000724","double-strand break repair via homologous recombination"
"219","GO:0000725","recombinational repair"
"220","GO:0000727","double-strand break repair via break-induced replication"
"221","GO:0000729","DNA double-strand break processing"
"222","GO:0000730","DNA recombinase assembly"
"223","GO:0000731","DNA synthesis involved in DNA repair"
"224","GO:0000732","strand displacement"
"225","GO:0000735","removal of nonhomologous ends"
"226","GO:0000736","double-strand break repair via single-strand annealing, removal of nonhomologous ends"
"227","GO:0000737","DNA catabolic process, endonucleolytic"
"228","GO:0000738","DNA catabolic process, exonucleolytic"
"229","GO:0000740","nuclear membrane fusion"
"230","GO:0000741","karyogamy"
"231","GO:0000742","karyogamy involved in conjugation with cellular fusion"
"232","GO:0000743","nuclear migration involved in conjugation with cellular fusion"
"233","GO:0000744","karyogamy involved in conjugation with mutual genetic exchange"
"234","GO:0000745","nuclear migration involved in conjugation with mutual genetic exchange"
"235","GO:0000746","conjugation"
"236","GO:0000747","conjugation with cellular fusion"
"237","GO:0000748","conjugation with mutual genetic exchange"
"238","GO:0000749","response to pheromone triggering conjugation with cellular fusion"
"239","GO:0000750","pheromone-dependent signal transduction involved in conjugation with cellular fusion"
"240","GO:0000751","mitotic cell cycle G1 arrest in response to pheromone"
"241","GO:0000752","agglutination involved in conjugation with cellular fusion"
"242","GO:0000753","cell morphogenesis involved in conjugation with cellular fusion"
"243","GO:0000754","adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion"
"244","GO:0000755","cytogamy"
"245","GO:0000756","response to pheromone regulating conjugation with mutual genetic exchange"
"246","GO:0000758","agglutination involved in conjugation with mutual genetic exchange"
"247","GO:0000760","adaptation to pheromone regulating conjugation with mutual genetic exchange"
"248","GO:0000761","conjugant formation"
"249","GO:0000762","pheromone-induced unidirectional conjugation"
"250","GO:0000765","response to pheromone regulating pheromone-induced unidirectional conjugation"
"251","GO:0000766","negative adaptation of signaling pathway by response to pheromone involved in pheromone-induced unidirectional conjugation"
"252","GO:0000767","cell morphogenesis involved in conjugation"
"253","GO:0000768","syncytium formation by plasma membrane fusion"
"254","GO:0000769","syncytium formation by mitosis without cytokinesis"
"255","GO:0000770","peptide pheromone export"
"256","GO:0000771","agglutination involved in conjugation"
"257","GO:0000819","sister chromatid segregation"
"258","GO:0000820","regulation of glutamine family amino acid metabolic process"
"259","GO:0000821","regulation of arginine metabolic process"
"260","GO:0000902","cell morphogenesis"
"261","GO:0000904","cell morphogenesis involved in differentiation"
"262","GO:0000905","sporocarp development involved in asexual reproduction"
"263","GO:0000909","sporocarp development involved in sexual reproduction"
"264","GO:0000910","cytokinesis"
"265","GO:0000911","cytokinesis by cell plate formation"
"266","GO:0000912","assembly of actomyosin apparatus involved in cytokinesis"
"267","GO:0000913","preprophase band assembly"
"268","GO:0000914","phragmoplast assembly"
"269","GO:0000915","actomyosin contractile ring assembly"
"270","GO:0000916","actomyosin contractile ring contraction"
"271","GO:0000917","division septum assembly"
"272","GO:0000918","division septum site selection"
"273","GO:0000919","cell plate assembly"
"274","GO:0000920","septum digestion after cytokinesis"
"275","GO:0000921","septin ring assembly"
"276","GO:0000947","amino acid catabolic process to alcohol via Ehrlich pathway"
"277","GO:0000948","amino acid catabolic process to carboxylic acid via Ehrlich pathway"
"278","GO:0000949","aromatic amino acid family catabolic process to alcohol via Ehrlich pathway"
"279","GO:0000950","branched-chain amino acid catabolic process to alcohol via Ehrlich pathway"
"280","GO:0000951","methionine catabolic process to 3-methylthiopropanol"
"281","GO:0000952","aromatic amino acid family catabolic process to carboxylic acid via Ehrlich pathway"
"282","GO:0000953","branched-chain amino acid catabolic process to carboxylic acid via Ehrlich pathway"
"283","GO:0000954","methionine catabolic process to 3-methylthiopropanoate"
"284","GO:0000955","amino acid catabolic process via Ehrlich pathway"
"285","GO:0000956","nuclear-transcribed mRNA catabolic process"
"286","GO:0000957","mitochondrial RNA catabolic process"
"287","GO:0000958","mitochondrial mRNA catabolic process"
"288","GO:0000959","mitochondrial RNA metabolic process"
"289","GO:0000960","regulation of mitochondrial RNA catabolic process"
"290","GO:0000961","negative regulation of mitochondrial RNA catabolic process"
"291","GO:0000962","positive regulation of mitochondrial RNA catabolic process"
"292","GO:0000963","mitochondrial RNA processing"
"293","GO:0000964","mitochondrial RNA 5'-end processing"
"294","GO:0000965","mitochondrial RNA 3'-end processing"
"295","GO:0000966","RNA 5'-end processing"
"296","GO:0000967","rRNA 5'-end processing"
"297","GO:0000968","tRNA exon ligation"
"298","GO:0000969","tRNA exon ligation utilizing ATP as source of linkage phosphate"
"299","GO:0000970","tRNA exon ligation utilizing GTP as source of linkage phosphate"
"300","GO:0000971","tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate"
"301","GO:0000972","transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery"
"302","GO:0000973","posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery"
"303","GO:0001014","snoRNA transcription by RNA polymerase III"
"304","GO:0001015","snoRNA transcription by RNA polymerase II"
"305","GO:0001059","transcription by RNA polymerase IV"
"306","GO:0001060","transcription by RNA polymerase V"
"307","GO:0001079","nitrogen catabolite regulation of transcription from RNA polymerase II promoter"
"308","GO:0001080","nitrogen catabolite activation of transcription from RNA polymerase II promoter"
"309","GO:0001081","nitrogen catabolite repression of transcription from RNA polymerase II promoter"
"310","GO:0001100","negative regulation of exit from mitosis"
"311","GO:0001101","response to acid chemical"
"312","GO:0001109","promoter clearance during DNA-templated transcription"
"313","GO:0001110","promoter clearance from RNA polymerase III promoter"
"314","GO:0001111","promoter clearance from RNA polymerase II promoter"
"315","GO:0001112","DNA-templated transcription open complex formation"
"316","GO:0001113","transcription open complex formation at RNA polymerase II promoter"
"317","GO:0001115","protein-DNA-RNA complex subunit organization"
"318","GO:0001116","protein-DNA-RNA complex assembly"
"319","GO:0001117","protein-DNA-RNA complex disassembly"
"320","GO:0001118","transcription ternary complex disassembly"
"321","GO:0001119","protein-DNA-RNA complex remodeling"
"322","GO:0001120","protein-DNA complex remodeling"
"323","GO:0001121","bacterial transcription"
"324","GO:0001122","promoter clearance from bacterial-type RNA polymerase promoter"
"325","GO:0001123","transcription initiation from bacterial-type RNA polymerase promoter"
"326","GO:0001124","transcription elongation from bacterial-type RNA polymerase promoter"
"327","GO:0001125","transcription termination from bacterial-type RNA polymerase promoter"
"328","GO:0001126","bacterial-type RNA polymerase preinitiation complex assembly"
"329","GO:0001127","transcription open complex formation at bacterial-type RNA polymerase promoter"
"330","GO:0001171","reverse transcription"
"331","GO:0001172","transcription, RNA-templated"
"332","GO:0001173","DNA-templated transcriptional start site selection"
"333","GO:0001174","transcriptional start site selection at RNA polymerase II promoter"
"334","GO:0001175","transcriptional start site selection at RNA polymerase III promoter"
"335","GO:0001176","transcriptional start site selection at bacterial-type RNA polymerase promoter"
"336","GO:0001177","regulation of transcription open complex formation at RNA polymerase II promoter"
"337","GO:0001178","regulation of transcriptional start site selection at RNA polymerase II promoter"
"338","GO:0001182","promoter clearance from RNA polymerase I promoter"
"339","GO:0001183","transcription elongation from RNA polymerase I promoter for nuclear large rRNA transcript"
"340","GO:0001184","promoter clearance from RNA polymerase I promoter for nuclear large rRNA transcript"
"341","GO:0001188","RNA polymerase I preinitiation complex assembly"
"342","GO:0001192","maintenance of transcriptional fidelity during DNA-templated transcription elongation"
"343","GO:0001193","maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter"
"344","GO:0001194","maintenance of transcriptional fidelity during DNA-templated transcription elongation from bacterial-type RNA polymerase promoter"
"345","GO:0001195","maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase III promoter"
"346","GO:0001196","regulation of mating-type specific transcription from RNA polymerase II promoter"
"347","GO:0001197","positive regulation of mating-type specific transcription from RNA polymerase II promoter"
"348","GO:0001198","negative regulation of mating-type specific transcription from RNA polymerase II promoter"
"349","GO:0001207","histone displacement"
"350","GO:0001208","histone H2A-H2B dimer displacement"
"351","GO:0001301","progressive alteration of chromatin involved in cell aging"
"352","GO:0001306","age-dependent response to oxidative stress"
"353","GO:0001315","age-dependent response to reactive oxygen species"
"354","GO:0001325","formation of extrachromosomal circular DNA"
"355","GO:0001326","replication of extrachromosomal circular DNA"
"356","GO:0001402","signal transduction involved in filamentous growth"
"357","GO:0001403","invasive growth in response to glucose limitation"
"358","GO:0001407","glycerophosphodiester transmembrane transport"
"359","GO:0001408","guanine nucleotide transport"
"360","GO:0001410","chlamydospore formation"
"361","GO:0001501","skeletal system development"
"362","GO:0001502","cartilage condensation"
"363","GO:0001503","ossification"
"364","GO:0001504","neurotransmitter uptake"
"365","GO:0001505","regulation of neurotransmitter levels"
"366","GO:0001507","acetylcholine catabolic process in synaptic cleft"
"367","GO:0001508","action potential"
"368","GO:0001510","RNA methylation"
"369","GO:0001514","selenocysteine incorporation"
"370","GO:0001516","prostaglandin biosynthetic process"
"371","GO:0001519","peptide amidation"
"372","GO:0001522","pseudouridine synthesis"
"373","GO:0001523","retinoid metabolic process"
"374","GO:0001525","angiogenesis"
"375","GO:0001539","cilium or flagellum-dependent cell motility"
"376","GO:0001541","ovarian follicle development"
"377","GO:0001542","ovulation from ovarian follicle"
"378","GO:0001543","ovarian follicle rupture"
"379","GO:0001544","initiation of primordial ovarian follicle growth"
"380","GO:0001545","primary ovarian follicle growth"
"381","GO:0001546","preantral ovarian follicle growth"
"382","GO:0001547","antral ovarian follicle growth"
"383","GO:0001548","follicular fluid formation in ovarian follicle antrum"
"384","GO:0001549","cumulus cell differentiation"
"385","GO:0001550","ovarian cumulus expansion"
"386","GO:0001551","ovarian follicle endowment"
"387","GO:0001552","ovarian follicle atresia"
"388","GO:0001553","luteinization"
"389","GO:0001554","luteolysis"
"390","GO:0001555","oocyte growth"
"391","GO:0001556","oocyte maturation"
"392","GO:0001558","regulation of cell growth"
"393","GO:0001560","regulation of cell growth by extracellular stimulus"
"394","GO:0001561","fatty acid alpha-oxidation"
"395","GO:0001562","response to protozoan"
"396","GO:0001563","detection of protozoan"
"397","GO:0001568","blood vessel development"
"398","GO:0001569","branching involved in blood vessel morphogenesis"
"399","GO:0001570","vasculogenesis"
"400","GO:0001572","lactosylceramide biosynthetic process"
"401","GO:0001573","ganglioside metabolic process"
"402","GO:0001574","ganglioside biosynthetic process"
"403","GO:0001575","globoside metabolic process"
"404","GO:0001576","globoside biosynthetic process"
"405","GO:0001578","microtubule bundle formation"
"406","GO:0001579","medium-chain fatty acid transport"
"407","GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste"
"408","GO:0001581","detection of chemical stimulus involved in sensory perception of sour taste"
"409","GO:0001582","detection of chemical stimulus involved in sensory perception of sweet taste"
"410","GO:0001583","detection of chemical stimulus involved in sensory perception of salty taste"
"411","GO:0001649","osteoblast differentiation"
"412","GO:0001654","eye development"
"413","GO:0001655","urogenital system development"
"414","GO:0001656","metanephros development"
"415","GO:0001657","ureteric bud development"
"416","GO:0001658","branching involved in ureteric bud morphogenesis"
"417","GO:0001659","temperature homeostasis"
"418","GO:0001660","fever generation"
"419","GO:0001661","conditioned taste aversion"
"420","GO:0001662","behavioral fear response"
"421","GO:0001666","response to hypoxia"
"422","GO:0001667","ameboidal-type cell migration"
"423","GO:0001672","regulation of chromatin assembly or disassembly"
"424","GO:0001675","acrosome assembly"
"425","GO:0001676","long-chain fatty acid metabolic process"
"426","GO:0001677","formation of translation initiation ternary complex"
"427","GO:0001678","cellular glucose homeostasis"
"428","GO:0001680","tRNA 3'-terminal CCA addition"
"429","GO:0001682","tRNA 5'-leader removal"
"430","GO:0001692","histamine metabolic process"
"431","GO:0001694","histamine biosynthetic process"
"432","GO:0001695","histamine catabolic process"
"433","GO:0001696","gastric acid secretion"
"434","GO:0001697","histamine-induced gastric acid secretion"
"435","GO:0001698","gastrin-induced gastric acid secretion"
"436","GO:0001699","acetylcholine-induced gastric acid secretion"
"437","GO:0001700","embryonic development via the syncytial blastoderm"
"438","GO:0001701","in utero embryonic development"
"439","GO:0001702","gastrulation with mouth forming second"
"440","GO:0001703","gastrulation with mouth forming first"
"441","GO:0001704","formation of primary germ layer"
"442","GO:0001705","ectoderm formation"
"443","GO:0001706","endoderm formation"
"444","GO:0001707","mesoderm formation"
"445","GO:0001708","cell fate specification"
"446","GO:0001709","cell fate determination"
"447","GO:0001710","mesodermal cell fate commitment"
"448","GO:0001711","endodermal cell fate commitment"
"449","GO:0001712","ectodermal cell fate commitment"
"450","GO:0001713","ectodermal cell fate determination"
"451","GO:0001714","endodermal cell fate specification"
"452","GO:0001715","ectodermal cell fate specification"
"453","GO:0001717","conversion of seryl-tRNAsec to selenocys-tRNAsec"
"454","GO:0001720","conversion of lysyl-tRNA to pyrrolysyl-tRNA"
"455","GO:0001731","formation of translation preinitiation complex"
"456","GO:0001732","formation of cytoplasmic translation initiation complex"
"457","GO:0001736","establishment of planar polarity"
"458","GO:0001737","establishment of imaginal disc-derived wing hair orientation"
"459","GO:0001738","morphogenesis of a polarized epithelium"
"460","GO:0001742","oenocyte differentiation"
"461","GO:0001743","lens placode formation"
"462","GO:0001744","insect visual primordium formation"
"463","GO:0001745","compound eye morphogenesis"
"464","GO:0001746","Bolwig's organ morphogenesis"
"465","GO:0001748","insect visual primordium development"
"466","GO:0001751","compound eye photoreceptor cell differentiation"
"467","GO:0001752","compound eye photoreceptor fate commitment"
"468","GO:0001754","eye photoreceptor cell differentiation"
"469","GO:0001755","neural crest cell migration"
"470","GO:0001756","somitogenesis"
"471","GO:0001757","somite specification"
"472","GO:0001759","organ induction"
"473","GO:0001762","beta-alanine transport"
"474","GO:0001763","morphogenesis of a branching structure"
"475","GO:0001764","neuron migration"
"476","GO:0001765","membrane raft assembly"
"477","GO:0001766","membrane raft polarization"
"478","GO:0001767","establishment of lymphocyte polarity"
